(0.260) UPDATE `auth_user` SET `last_login` = '2019-06-20 13:56:58.382435' WHERE `auth_user`.`id` = 1; args=('2019-06-20 13:56:58.382435', 1)
(0.061) UPDATE `django_session` SET `session_data` = 'MjMwNTZlYjVjMTRiY2EwMmE4MGU3NmNlNmZhNGZhZTJlMWY1YzU4ZTp7Il9hdXRoX3VzZXJfaWQiOiIxIiwiX2F1dGhfdXNlcl9iYWNrZW5kIjoiZGphbmdvLmNvbnRyaWIuYXV0aC5iYWNrZW5kcy5Nb2RlbEJhY2tlbmQiLCJfYXV0aF91c2VyX2hhc2giOiI5NWJkOWMyMTIzMDdhM2Q0ZGVkNTEzNTcxMmIxYjE4M2M2Mjg0ZWNlIn0=', `expire_date` = '2019-07-04 13:56:58.731486' WHERE `django_session`.`session_key` = 'rthmp001bh4vs66sxik92e47b28q2ywx'; args=('MjMwNTZlYjVjMTRiY2EwMmE4MGU3NmNlNmZhNGZhZTJlMWY1YzU4ZTp7Il9hdXRoX3VzZXJfaWQiOiIxIiwiX2F1dGhfdXNlcl9iYWNrZW5kIjoiZGphbmdvLmNvbnRyaWIuYXV0aC5iYWNrZW5kcy5Nb2RlbEJhY2tlbmQiLCJfYXV0aF91c2VyX2hhc2giOiI5NWJkOWMyMTIzMDdhM2Q0ZGVkNTEzNTcxMmIxYjE4M2M2Mjg0ZWNlIn0=', '2019-07-04 13:56:58.731486', 'rthmp001bh4vs66sxik92e47b28q2ywx')
(0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
(0.001) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
(0.087) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2019-06-20 13:56:59.061583' AND `django_session`.`session_key` = 'rthmp001bh4vs66sxik92e47b28q2ywx'); args=('2019-06-20 13:56:59.061583', 'rthmp001bh4vs66sxik92e47b28q2ywx')
(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
(0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
(0.162) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
(0.048) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2019-06-20 13:56:59.275998' AND `django_session`.`session_key` = 'rthmp001bh4vs66sxik92e47b28q2ywx'); args=('2019-06-20 13:56:59.275998', 'rthmp001bh4vs66sxik92e47b28q2ywx')
(0.097) SELECT `django_content_type`.`app_label`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`); args=()
(0.001) SELECT `django_content_type`.`app_label`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`); args=()
(0.098) SELECT `onlineapp_college`.`id`, `onlineapp_college`.`name`, `onlineapp_college`.`location`, `onlineapp_college`.`acronym`, `onlineapp_college`.`contact` FROM `onlineapp_college`; args=()
(0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
(0.001) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
(0.022) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2019-06-20 13:57:11.307212' AND `django_session`.`session_key` = 'rthmp001bh4vs66sxik92e47b28q2ywx'); args=('2019-06-20 13:57:11.307212', 'rthmp001bh4vs66sxik92e47b28q2ywx')
(0.084) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
(0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
